"Logger","Week","Temp"
"LowBarnacleBench","2017-51",9.9
"LowBarnacleBench","2017-52",10.23
"LowBarnacleBench","2017-53",9.32
"LowBarnacleBench","2017-6",10.23
"LowBarnacleBench","2017-7",10.54
"LowBarnacleBench","2017-8",10.04
"LowBarnacleBench","2017-9",9.54
"LowBarnacleBench","2018-1",9.9
"LowBarnacleBench","2018-10",9.54
"LowBarnacleBench","2018-11",10.02
"LowBarnacleBench","2018-12",9.6
"LowBarnacleBench","2018-13",9.83
"LowBarnacleBench","2018-14",10.19
"LowBarnacleBench","2018-15",10.85
"LowBarnacleBench","2018-16",10.82
"LowBarnacleBench","2018-17",11.38
"LowBarnacleBench","2018-18",11.32
"LowBarnacleBench","2018-19",11.99
"LowBarnacleBench","2018-2",10.94
"LowBarnacleBench","2018-20",18.71
"LowBarnacleBench","2018-21",22.84
"LowBarnacleBench","2018-22",22.59
"LowBarnacleBench","2018-23",22.67
"LowBarnacleBench","2018-24",22.71
"LowBarnacleBench","2018-25",20.83
"LowBarnacleBench","2018-26",20.45
"LowBarnacleBench","2018-3",10.94
"LowBarnacleBench","2018-4",10.64
"LowBarnacleBench","2018-5",10.58
"LowBarnacleBench","2018-6",10.68
"LowBarnacleBench","2018-7",9.51
"LowBarnacleBench","2018-8",8.81
"LowBarnacleBench","2018-9",8.53
"LowChannel","2013-28",10.3
"LowChannel","2013-29",10.39
"LowChannel","2013-30",9.89
"LowChannel","2013-31",10.63
"LowChannel","2013-32",10.28
"LowChannel","2013-33",12.7
"LowChannel","2013-34",11.24
"LowChannel","2013-35",13.65
"LowChannel","2013-36",15.69
"LowChannel","2013-37",12.92
"LowChannel","2013-38",14.23
"LowChannel","2013-39",14.76
"LowChannel","2013-40",14.48
"LowChannel","2013-41",13.1
"LowChannel","2013-42",10.76
"LowChannel","2013-43",9.93
"LowChannel","2013-44",9.8
